ObjectGUID;ObjectId;Alfa;Beta;Tau1;Phi1;I1;Tau2;Phi2;I2;Tau3;Phi3;I3;Tau4;Phi4;I4;J;Q;U;V;P;J0;Q0;U0;V0;P0;Alfa1;Beta1;Gamma;Re_Hi;Im_Hi;ErrorCode;ErrorCode01
{D65F75AA-7661-4EC1-B8A7-9B98633FF3EB};141;6;14;0;0;0,965;0;1,570796327;0,445;0;0,785398163;0,705;1,570796327;0,785398163;0,705;1,41;0,52;-4,44089E-16;-4,44089E-16;0,368794326;1,586588319;-0,593956866;3,6968E-16;6,00299E-16;0,374361048;-6,70744E-16;9,48575E-16;0,785398163;-6,70744E-16;9,48575E-16;0;0
{D7897EC7-9A31-4338-8B4B-6BB823C7F9C4};147;6;20;0;0;1,365;0;1,570796327;0,055;0;0,785398163;0,71;1,570796327;0,785398163;0,71;1,42;1,31;-1,11022E-15;-1,11022E-15;0,922535211;0,836795245;0,56728966;9,24201E-16;1,50075E-15;0,677931267;-6,65624E-16;9,41334E-16;0,785398163;-6,65624E-16;9,41334E-16;0;0
{D89B3986-4B9C-4799-88F4-AD1213A6D94E};29;1;7;0;0;0,22;0;1,570796327;0,22;0;0,785398163;0,22;1,570796327;0,785398163;0,22;0,44;0;0;0;0;0,652160869;-0,42586147;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{D90B92AD-8D7A-44E7-B636-034B41D73419};25;1;3;0;0;0,055;0;1,570796327;0,055;0;0,785398163;0,055;1,570796327;0,785398163;0,055;0,11;0;0;0;0;0,163040217;-0,106465367;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{DC0E3EFD-E11E-481E-944C-81F181FFD825};87;4;2;0;0;0,735;0;1,570796327;0,235;0;0,785398163;0,395;1,570796327;0,785398163;0,485;0,97;0,5;-0,18;-3,88578E-16;0,54784867;0,95378479;-0,197739072;0,19657798;0,0467377;0,296414354;0;0;0,785398163;0;0;0;1
{DC8991DD-D5D5-4584-9774-8C2E63E83D09};186;8;17;0;0;0,615;0;1,570796327;0,105;0;0,785398163;0,36;1,570796327;0,785398163;0,36;0,72;0,51;-4,44089E-16;-4,44089E-16;0,708333333;0,573560172;0,059049511;3,6968E-16;6,00299E-16;0,102952599;-6,83896E-16;9,67175E-16;0,785398163;-6,83896E-16;9,67175E-16;0;0
{DCC6003B-35EF-4D4B-BE18-2A97352CD1DD};105;4;20;0;0;1,18;0;1,570796327;0,06;0;0,785398163;0,62;1,570796327;0,785398163;0,62;1,24;1,12;-8,88178E-16;-8,88178E-16;0,903225806;0,753896888;0,459890796;7,39361E-16;1,2006E-15;0,610018164;-6,22834E-16;8,8082E-16;0,785398163;-6,22834E-16;8,8082E-16;0;0
{DE73E53E-7B56-4439-8E43-7E231D5A5030};3;0;2;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{DFB91098-C465-46DA-BD73-EC753502300E};2;0;1;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{E0EE9627-B0D6-432D-B135-4D447B5D705B};49;2;6;0;0;0,51;0;1,570796327;0,19;0;0,785398163;0,35;1,570796327;0,785398163;0,35;0,7;0,32;-2,77556E-16;-2,77556E-16;0,457142857;0,727811222;-0,20320807;2,3105E-16;3,75187E-16;0,279204365;-6,81224E-16;9,63397E-16;0,785398163;-6,81224E-16;9,63397E-16;0;0
{E1AA46AF-AE9C-48BE-AE6E-1B986A6A5623};134;6;7;0;0;1,795;0;1,570796327;0,795;0;0,785398163;1,295;1,570796327;0,785398163;1,295;2,59;1;-8,88178E-16;-8,88178E-16;0,386100386;2,870989045;-1,024591678;7,39361E-16;1,2006E-15;0,356877599;-6,97574E-16;9,86518E-16;0,785398163;-6,97574E-16;9,86518E-16;0;0
{E3B3E620-5AAD-41CB-84E9-F9EECBC20102};78;3;14;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
